TIME,H2S-ppb,H2S-ppb-zugam,speed-avg,speed-max,vane-avg
10/03/2025 15:32:51,3.57,10.34,0.0,0.0,0.0
10/03/2025 15:37:56,10.51,12.54,0.0,0.0,0.0
10/03/2025 15:42:50,18.1,26.51,0.0,0.0,0.0
10/03/2025 15:47:38,13.87,12.56,0.0,0.0,0.0
10/03/2025 15:52:51,8.31,17.02,0.0,0.0,0.0
10/03/2025 15:57:38,4.35,15.83,0.0,0.0,0.0
10/03/2025 16:02:51,3.59,12.8,0.0,0.0,0.0
10/03/2025 16:07:39,3.42,21.05,0.0,0.0,0.0
10/03/2025 16:12:50,3.59,13.43,0.0,0.0,0.0
10/03/2025 16:17:39,3.73,18.33,0.0,0.0,0.0
10/03/2025 16:22:51,3.3,13.91,0.0,0.0,0.0
10/03/2025 16:27:38,3.83,13.77,0.0,0.0,0.0
10/03/2025 16:32:51,3.24,10.48,0.0,0.0,0.0
10/03/2025 16:37:58,3.63,13.53,0.0,0.0,0.0
10/03/2025 16:47:39,3.6,13.62,0.0,0.0,0.0
10/03/2025 16:52:50,3.66,13.25,0.0,0.0,0.0
10/03/2025 16:57:39,3.16,15.05,0.0,0.0,0.0
10/03/2025 17:02:51,3.81,13.57,0.0,0.0,0.0
10/03/2025 17:07:39,3.56,11.57,0.0,0.0,0.0
10/03/2025 17:12:51,3.51,10.43,0.0,0.0,0.0
10/03/2025 17:17:39,3.59,7.46,0.0,0.0,0.0
10/03/2025 17:22:51,3.33,11.35,0.0,0.0,0.0
10/03/2025 17:27:39,3.85,12.87,0.0,0.0,0.0
10/03/2025 17:32:51,3.56,11.33,0.0,0.0,0.0
10/03/2025 17:37:59,3.53,8.31,0.0,0.0,0.0
10/03/2025 17:42:50,3.69,15.5,0.0,0.0,0.0
10/03/2025 17:47:39,3.34,10.14,0.0,0.0,0.0
10/03/2025 17:52:51,3.73,7.84,0.0,0.0,0.0
10/03/2025 17:57:39,3.4,13.12,0.0,0.0,0.0
10/03/2025 19:10:51,16.83,21.18,0.48,1.01,187.0
10/03/2025 19:16:05,37.51,13.86,0.03,0.34,236.0
10/03/2025 19:21:13,42.39,16.3,0.28,1.34,215.0
10/03/2025 19:26:05,42.45,18.26,0.54,1.01,182.0
10/03/2025 19:30:51,46.97,17.97,0.21,1.01,153.0
10/03/2025 19:36:05,49.03,16.27,0.02,0.67,357.0
10/03/2025 19:40:51,51.08,15.65,0.01,0.34,63.0
10/03/2025 19:46:05,49.21,16.74,0.49,1.34,166.0
10/03/2025 19:50:51,51.58,16.25,0.81,1.68,176.0
10/03/2025 19:56:05,50.58,14.65,0.79,1.68,173.0
10/03/2025 20:00:53,46.97,12.44,0.21,1.34,166.0
10/03/2025 20:06:05,46.61,12.79,0.05,0.67,169.0
10/03/2025 20:10:53,43.37,12.74,0.13,1.68,187.0
10/03/2025 20:16:06,42.43,13.69,0.24,1.01,184.0
10/03/2025 20:21:11,42.94,12.1,0.05,0.67,181.0
10/03/2025 20:26:05,43.32,12.92,0.21,0.67,181.0
10/03/2025 20:30:53,42.02,12.99,0.6,1.34,173.0
10/03/2025 20:36:06,41.94,11.32,0.54,1.34,173.0
10/03/2025 20:40:54,42.02,11.16,0.37,1.34,174.0
10/03/2025 20:46:05,44.05,10.7,0.25,0.67,177.0
10/03/2025 20:50:52,43.31,12.68,0.15,0.67,178.0
10/03/2025 20:56:06,41.53,10.7,0.5,1.34,201.0
10/03/2025 21:00:51,40.32,10.73,0.61,1.68,186.0
10/03/2025 21:06:06,40.44,10.24,0.58,1.34,185.0
10/03/2025 21:10:52,36.4,9.28,0.54,1.68,188.0
10/03/2025 21:16:06,34.67,10.16,0.71,1.68,184.0
10/03/2025 21:21:14,33.73,10.31,0.69,2.01,181.0
10/03/2025 21:26:07,33.57,14.35,0.24,1.01,190.0
10/03/2025 21:30:52,34.29,12.44,0.43,1.34,171.0
10/03/2025 21:36:06,34.33,13.44,0.59,1.34,161.0
10/03/2025 21:40:52,35.04,13.48,0.29,1.01,177.0
10/03/2025 21:46:06,31.07,9.09,0.26,1.01,191.0
10/03/2025 21:50:54,30.77,8.76,0.06,0.67,182.0
10/03/2025 21:56:07,35.03,9.62,0.03,0.34,185.0
10/03/2025 22:00:54,31.08,9.61,0.01,0.34,186.0
10/03/2025 22:06:07,34.8,9.37,0.0,0.0,0.0
10/03/2025 22:10:52,37.31,12.35,0.0,0.0,0.0
10/03/2025 22:16:07,32.33,7.35,0.0,0.0,0.0
10/03/2025 22:21:12,31.86,9.02,0.0,0.0,0.0
10/03/2025 22:26:06,33.16,12.04,0.01,0.34,187.0
10/03/2025 22:30:54,37.89,9.89,0.0,0.0,0.0
10/03/2025 22:36:06,41.53,11.39,0.48,1.01,143.0
10/03/2025 22:40:52,38.75,8.31,0.53,1.01,136.0
10/03/2025 22:46:07,36.09,6.53,0.46,1.01,131.0
10/03/2025 22:50:52,36.12,7.76,0.18,0.67,142.0
10/03/2025 22:56:07,35.75,5.64,0.06,0.67,161.0
10/03/2025 23:00:52,34.06,5.64,0.0,0.0,0.0
10/03/2025 23:06:06,36.0,6.91,0.0,0.0,0.0
10/03/2025 23:10:54,36.12,4.69,0.0,0.0,0.0
10/03/2025 23:16:06,37.5,7.11,0.0,0.0,0.0
10/03/2025 23:21:14,31.58,5.89,0.0,0.0,0.0
10/03/2025 23:26:06,32.85,6.79,0.14,0.67,169.0
10/03/2025 23:30:52,33.54,5.74,0.28,0.67,180.0
10/03/2025 23:36:06,39.3,10.05,0.42,0.67,180.0
10/03/2025 23:40:53,37.93,8.77,0.06,0.67,180.0
10/03/2025 23:46:07,39.44,8.43,0.0,0.0,0.0
10/03/2025 23:50:53,36.56,7.48,0.0,0.0,0.0
10/03/2025 23:56:07,35.17,8.72,0.0,0.0,0.0
11/03/2025 00:00:55,35.77,12.81,0.0,0.34,180.0
11/03/2025 00:06:07,37.27,9.38,0.0,0.0,0.0
11/03/2025 00:10:55,37.3,5.58,0.0,0.0,0.0
11/03/2025 00:16:07,37.0,5.68,0.0,0.0,0.0
11/03/2025 00:21:13,35.98,6.52,0.0,0.0,0.0
11/03/2025 00:26:07,35.12,5.85,0.0,0.0,0.0
11/03/2025 00:30:53,37.14,5.85,0.0,0.0,0.0
11/03/2025 00:36:07,35.05,6.16,0.0,0.0,0.0
11/03/2025 00:40:53,33.04,3.68,0.0,0.0,0.0
11/03/2025 00:46:07,36.42,6.14,0.0,0.0,0.0
11/03/2025 00:50:53,39.29,7.05,0.47,0.67,169.0
11/03/2025 00:56:07,34.61,4.85,0.36,0.67,165.0
11/03/2025 01:00:55,31.58,5.45,0.0,0.0,0.0
11/03/2025 01:06:07,36.76,6.0,0.0,0.0,0.0
11/03/2025 01:10:55,39.66,6.53,0.0,0.0,0.0
11/03/2025 01:16:07,35.96,5.19,0.0,0.0,0.0
11/03/2025 01:21:13,33.4,5.13,0.0,0.0,0.0
11/03/2025 01:26:07,35.85,9.4,0.0,0.0,0.0
11/03/2025 01:30:55,37.44,9.43,0.11,0.67,165.0
11/03/2025 01:36:07,31.64,6.23,0.0,0.0,0.0
11/03/2025 01:40:53,33.77,10.26,0.0,0.0,0.0
11/03/2025 01:46:07,34.88,10.3,0.0,0.0,0.0
11/03/2025 01:50:53,30.48,7.16,0.02,0.34,170.0
11/03/2025 01:56:07,34.1,10.95,0.31,1.01,171.0
11/03/2025 02:00:53,36.44,11.76,0.36,0.67,170.0
11/03/2025 02:06:07,35.47,12.27,0.19,1.01,183.0
11/03/2025 02:10:55,34.52,12.53,0.0,0.0,0.0
11/03/2025 02:16:07,34.9,10.01,0.0,0.0,0.0
11/03/2025 02:21:15,29.46,9.93,0.29,1.01,191.0
11/03/2025 02:26:07,32.68,56.02,0.16,0.67,195.0
11/03/2025 02:30:53,29.95,11.97,0.26,1.01,194.0
11/03/2025 02:36:07,27.25,9.47,0.12,0.67,184.0
11/03/2025 02:40:55,25.43,7.31,1.03,2.35,156.0
11/03/2025 02:46:07,20.71,5.81,1.64,3.02,158.0
11/03/2025 02:50:55,21.6,7.95,1.9,3.02,155.0
11/03/2025 02:56:07,21.07,7.1,2.01,3.02,152.0
11/03/2025 03:00:53,22.3,8.26,1.22,2.35,161.0
11/03/2025 03:06:07,25.03,8.97,0.69,1.34,185.0
11/03/2025 03:10:53,27.12,10.97,0.05,0.67,199.0
11/03/2025 03:16:07,30.35,10.87,0.04,0.67,196.0
11/03/2025 03:21:13,28.47,9.44,0.42,1.34,180.0
11/03/2025 03:26:07,25.64,8.44,0.3,1.34,210.0
11/03/2025 03:30:55,29.87,5.15,0.0,0.34,231.0
11/03/2025 03:36:07,30.92,6.23,0.0,0.0,0.0
11/03/2025 03:40:55,28.1,3.97,0.28,1.34,201.0
11/03/2025 03:46:07,23.3,2.05,0.72,1.34,164.0
11/03/2025 03:50:53,21.45,2.1,1.08,2.68,150.0
11/03/2025 03:56:07,21.53,2.72,1.26,3.69,137.0
11/03/2025 04:00:53,20.77,2.13,1.06,2.68,119.0
11/03/2025 04:06:07,20.9,2.91,0.91,3.69,117.0
11/03/2025 04:10:53,20.44,3.89,1.24,2.68,97.0
11/03/2025 04:16:07,22.25,3.94,1.01,2.68,92.0
11/03/2025 04:21:15,21.2,3.21,0.96,2.68,101.0
11/03/2025 04:26:08,21.16,22.55,0.77,2.35,105.0
11/03/2025 04:30:56,21.35,4.97,1.22,2.68,106.0
11/03/2025 04:36:07,21.9,3.9,1.09,3.02,93.0
11/03/2025 04:40:53,22.45,3.6,0.87,3.02,108.0
11/03/2025 04:46:07,22.5,4.15,1.07,3.02,86.0
11/03/2025 04:50:53,23.31,2.83,0.56,1.68,91.0
11/03/2025 04:56:07,23.51,2.91,0.64,2.35,86.0
11/03/2025 05:00:53,23.34,2.87,0.58,1.34,86.0
11/03/2025 05:06:07,24.81,2.48,0.68,2.01,88.0
11/03/2025 05:10:53,23.26,2.41,0.67,2.35,98.0
11/03/2025 05:16:07,24.29,2.95,0.76,2.01,88.0
11/03/2025 05:21:15,24.66,1.91,0.61,2.01,119.0
11/03/2025 05:26:07,24.87,40.87,0.82,1.68,105.0
11/03/2025 05:30:55,25.85,4.55,0.47,1.34,130.0
