TIME,NH3 PPB Médio,NH3 PPB Máximo,NH3 PPB Mínimo,NH3 uG Médio
2026-03-18 16:58:37,110 ppb,315 ppb,16 ppb,76 ppb
2026-03-18 17:28:43,81 ppb,107 ppb,53 ppb,56 ppb
2026-03-18 17:59:00,88 ppb,101 ppb,60 ppb,61 ppb
2026-03-18 18:29:07,65 ppb,78 ppb,53 ppb,45 ppb
2026-03-18 18:59:13,67 ppb,258 ppb,1 ppb,47 ppb
2026-03-18 19:29:19,12 ppb,48 ppb,1 ppb,8 ppb
2026-03-18 19:59:25,24 ppb,37 ppb,2 ppb,17 ppb
2026-03-18 20:59:38,42 ppb,52 ppb,35 ppb,29 ppb
2026-03-18 21:29:44,47 ppb,51 ppb,44 ppb,33 ppb
2026-03-18 21:59:50,43 ppb,57 ppb,37 ppb,30 ppb
2026-03-18 22:29:56,54 ppb,69 ppb,44 ppb,37 ppb
2026-03-18 23:00:03,56 ppb,70 ppb,50 ppb,39 ppb
2026-03-18 23:30:09,62 ppb,83 ppb,49 ppb,43 ppb
2026-03-19 00:00:15,75 ppb,92 ppb,47 ppb,52 ppb
2026-03-19 00:30:21,69 ppb,83 ppb,59 ppb,48 ppb
2026-03-19 01:00:27,75 ppb,88 ppb,63 ppb,52 ppb
2026-03-19 01:30:34,84 ppb,106 ppb,66 ppb,58 ppb
2026-03-19 02:00:40,90 ppb,101 ppb,79 ppb,62 ppb
2026-03-19 02:30:46,92 ppb,101 ppb,80 ppb,64 ppb
2026-03-19 03:00:52,93 ppb,104 ppb,86 ppb,64 ppb
2026-03-19 03:30:58,87 ppb,108 ppb,73 ppb,60 ppb
2026-03-19 04:01:10,67 ppb,83 ppb,50 ppb,46 ppb
2026-03-19 05:01:22,82 ppb,95 ppb,55 ppb,57 ppb
2026-03-19 05:31:28,92 ppb,106 ppb,82 ppb,64 ppb
2026-03-19 06:01:35,80 ppb,104 ppb,66 ppb,55 ppb
2026-03-19 06:31:41,85 ppb,100 ppb,70 ppb,59 ppb
2026-03-19 07:01:47,82 ppb,101 ppb,63 ppb,57 ppb
2026-03-19 07:31:53,91 ppb,124 ppb,71 ppb,63 ppb
2026-03-19 08:02:00,97 ppb,120 ppb,72 ppb,67 ppb
2026-03-19 08:32:06,117 ppb,137 ppb,89 ppb,81 ppb
2026-03-19 09:02:12,128 ppb,140 ppb,118 ppb,89 ppb
2026-03-19 09:32:18,142 ppb,155 ppb,131 ppb,98 ppb
2026-03-19 10:02:24,152 ppb,165 ppb,135 ppb,105 ppb
2026-03-19 10:32:30,162 ppb,176 ppb,149 ppb,112 ppb
2026-03-19 11:02:37,173 ppb,191 ppb,159 ppb,119 ppb
2026-03-19 11:32:43,180 ppb,198 ppb,169 ppb,124 ppb
2026-03-19 12:02:49,206 ppb,220 ppb,192 ppb,142 ppb
