TIME,Pressão Média,Pressão Máxima,Pressão Mínima
2026-03-25 18:11:02,,,
2026-03-25 18:41:40,1013.77 hPa,1013.85 hPa,1013.68 hPa
2026-03-25 18:41:40,1013.77 hPa,1013.85 hPa,1013.68 hPa
2026-03-25 19:11:46,1014.22 hPa,1014.67 hPa,1013.79 hPa
2026-03-25 19:11:46,1014.22 hPa,1014.67 hPa,1013.79 hPa
2026-03-25 19:41:52,1014.82 hPa,1014.91 hPa,1014.70 hPa
2026-03-25 19:41:52,1014.82 hPa,1014.91 hPa,1014.70 hPa
2026-03-25 20:11:58,1014.91 hPa,1015.00 hPa,1014.83 hPa
2026-03-25 20:11:58,1014.91 hPa,1015.00 hPa,1014.83 hPa
2026-03-25 20:42:04,1015.05 hPa,1015.15 hPa,1014.97 hPa
2026-03-25 21:12:10,1015.28 hPa,1015.47 hPa,1015.05 hPa
2026-03-25 21:42:17,1015.57 hPa,1015.74 hPa,1015.45 hPa
2026-03-25 21:42:17,1015.57 hPa,1015.74 hPa,1015.45 hPa
2026-03-25 22:12:23,1015.71 hPa,1015.92 hPa,1015.58 hPa
2026-03-25 22:42:29,1015.87 hPa,1015.96 hPa,1015.80 hPa
2026-03-25 22:42:29,1015.87 hPa,1015.96 hPa,1015.80 hPa
2026-03-25 23:12:35,1016.04 hPa,1016.19 hPa,1015.90 hPa
2026-03-25 23:12:35,1016.04 hPa,1016.19 hPa,1015.90 hPa
2026-03-25 23:42:42,1015.72 hPa,1015.86 hPa,1015.64 hPa
2026-03-26 00:12:48,1016.16 hPa,1016.50 hPa,1015.68 hPa
2026-03-26 00:12:48,1016.16 hPa,1016.50 hPa,1015.68 hPa
2026-03-26 00:42:54,1015.50 hPa,1015.64 hPa,1015.39 hPa
2026-03-26 00:42:54,1015.50 hPa,1015.64 hPa,1015.39 hPa
2026-03-26 01:13:00,1015.53 hPa,1015.61 hPa,1015.46 hPa
2026-03-26 01:13:00,1015.53 hPa,1015.61 hPa,1015.46 hPa
2026-03-26 01:43:07,1015.71 hPa,1015.81 hPa,1015.60 hPa
2026-03-26 01:43:07,1015.71 hPa,1015.81 hPa,1015.60 hPa
2026-03-26 02:13:13,1015.45 hPa,1015.60 hPa,1015.23 hPa
2026-03-26 02:43:19,1015.44 hPa,1015.54 hPa,1015.37 hPa
2026-03-26 02:43:19,1015.44 hPa,1015.54 hPa,1015.37 hPa
2026-03-26 03:13:31,1015.48 hPa,1015.54 hPa,1015.43 hPa
2026-03-26 03:43:37,1015.28 hPa,1015.47 hPa,1015.15 hPa
2026-03-26 04:13:43,1015.12 hPa,1015.18 hPa,1015.07 hPa
2026-03-26 04:13:43,1015.12 hPa,1015.18 hPa,1015.07 hPa
2026-03-26 05:13:56,1014.93 hPa,1014.97 hPa,1014.91 hPa
2026-03-26 05:13:56,1014.93 hPa,1014.97 hPa,1014.91 hPa
2026-03-26 05:44:02,1014.94 hPa,1015.00 hPa,1014.89 hPa
2026-03-26 05:44:02,1014.94 hPa,1015.00 hPa,1014.89 hPa
2026-03-26 06:14:08,1015.06 hPa,1015.15 hPa,1014.92 hPa
2026-03-26 06:14:08,1015.06 hPa,1015.15 hPa,1014.92 hPa
2026-03-26 06:44:14,1015.29 hPa,1015.55 hPa,1015.14 hPa
2026-03-26 06:44:14,1015.29 hPa,1015.55 hPa,1015.14 hPa
2026-03-26 07:14:20,1015.78 hPa,1015.97 hPa,1015.58 hPa
2026-03-26 07:14:20,1015.78 hPa,1015.97 hPa,1015.58 hPa
2026-03-26 07:44:27,1016.09 hPa,1016.30 hPa,1015.93 hPa
2026-03-26 08:44:39,1016.89 hPa,1017.04 hPa,1016.70 hPa
2026-03-26 08:44:39,1016.89 hPa,1017.04 hPa,1016.70 hPa
2026-03-26 09:14:57,1017.27 hPa,1017.50 hPa,1017.03 hPa
2026-03-26 09:14:57,1017.27 hPa,1017.50 hPa,1017.03 hPa
2026-03-26 09:45:04,1017.50 hPa,1017.59 hPa,1017.44 hPa
2026-03-26 10:15:17,1017.59 hPa,1017.66 hPa,1017.52 hPa
2026-03-26 10:45:30,1017.62 hPa,1017.69 hPa,1017.56 hPa
2026-03-26 11:15:43,1017.60 hPa,1017.66 hPa,1017.54 hPa
2026-03-26 11:46:01,1017.51 hPa,1017.60 hPa,1017.45 hPa
2026-03-26 12:16:07,1017.42 hPa,1017.51 hPa,1017.29 hPa
2026-03-26 12:46:13,1017.18 hPa,1017.34 hPa,1016.97 hPa
2026-03-26 13:16:20,1016.75 hPa,1016.99 hPa,1016.63 hPa
2026-03-26 14:16:32,1016.14 hPa,1016.30 hPa,1015.99 hPa
2026-03-26 14:46:38,1015.77 hPa,1016.03 hPa,1015.49 hPa
2026-03-26 15:16:44,1015.35 hPa,1015.51 hPa,1015.19 hPa
2026-03-26 15:46:56,1014.95 hPa,1015.24 hPa,1014.70 hPa
