TIME,Temperatura Média,Temperatura Máxima,Temperatura Mínima
2026-03-18 16:58:37,25.98 °C,26.17 °C,25.78 °C
2026-03-18 17:28:43,25.61 °C,25.79 °C,25.49 °C
2026-03-18 17:59:00,25.36 °C,25.50 °C,25.22 °C
2026-03-18 18:29:07,25.11 °C,25.24 °C,24.99 °C
2026-03-18 18:59:13,24.90 °C,25.00 °C,24.81 °C
2026-03-18 19:29:19,24.85 °C,25.14 °C,24.74 °C
2026-03-18 19:59:25,25.53 °C,25.84 °C,25.15 °C
2026-03-18 20:59:38,26.25 °C,26.35 °C,26.15 °C
2026-03-18 21:29:44,26.40 °C,26.46 °C,26.33 °C
2026-03-18 21:59:50,26.48 °C,26.51 °C,26.44 °C
2026-03-18 22:29:56,26.54 °C,26.57 °C,26.50 °C
2026-03-18 23:00:03,26.58 °C,26.61 °C,26.55 °C
2026-03-18 23:30:09,26.62 °C,26.65 °C,26.60 °C
2026-03-19 00:00:15,26.65 °C,26.68 °C,26.63 °C
2026-03-19 00:30:21,26.67 °C,26.70 °C,26.65 °C
2026-03-19 01:00:27,26.69 °C,26.71 °C,26.67 °C
2026-03-19 01:30:34,26.70 °C,26.72 °C,26.68 °C
2026-03-19 02:00:40,26.70 °C,26.73 °C,26.69 °C
2026-03-19 02:30:46,26.71 °C,26.73 °C,26.70 °C
2026-03-19 03:00:52,26.71 °C,26.73 °C,26.70 °C
2026-03-19 03:30:58,26.71 °C,26.72 °C,26.69 °C
2026-03-19 04:01:10,26.70 °C,26.71 °C,26.68 °C
2026-03-19 05:01:22,26.67 °C,26.69 °C,26.65 °C
2026-03-19 05:31:28,26.66 °C,26.67 °C,26.64 °C
2026-03-19 06:01:35,26.64 °C,26.66 °C,26.63 °C
2026-03-19 06:31:41,26.62 °C,26.64 °C,26.60 °C
2026-03-19 07:01:47,26.61 °C,26.62 °C,26.59 °C
2026-03-19 07:31:53,26.64 °C,26.67 °C,26.60 °C
2026-03-19 08:02:00,26.72 °C,26.78 °C,26.67 °C
2026-03-19 08:32:06,26.83 °C,26.90 °C,26.77 °C
2026-03-19 09:02:12,26.94 °C,27.01 °C,26.89 °C
2026-03-19 09:32:18,27.08 °C,27.15 °C,27.00 °C
2026-03-19 10:02:24,27.22 °C,27.32 °C,27.14 °C
2026-03-19 10:32:30,27.38 °C,27.47 °C,27.30 °C
2026-03-19 11:02:37,27.55 °C,27.64 °C,27.46 °C
2026-03-19 11:32:43,27.71 °C,27.84 °C,27.62 °C
2026-03-19 12:02:49,27.99 °C,28.13 °C,27.83 °C
2026-03-19 12:32:55,28.19 °C,28.24 °C,28.13 °C
2026-03-19 13:03:01,28.27 °C,28.31 °C,28.24 °C
2026-03-19 13:33:08,28.21 °C,28.28 °C,28.17 °C
2026-03-19 14:03:25,28.15 °C,28.19 °C,28.12 °C
2026-03-19 14:33:37,28.26 °C,28.35 °C,28.14 °C
2026-03-19 15:03:43,28.46 °C,28.54 °C,28.35 °C
2026-03-19 15:33:49,28.45 °C,28.51 °C,28.41 °C
2026-03-19 16:03:55,28.37 °C,28.43 °C,28.32 °C
2026-03-19 16:34:01,28.41 °C,28.48 °C,28.34 °C
2026-03-19 17:04:08,28.54 °C,28.62 °C,28.46 °C
2026-03-19 17:34:14,28.61 °C,28.64 °C,28.59 °C
2026-03-19 18:04:20,28.55 °C,28.60 °C,28.50 °C
2026-03-19 18:34:26,28.47 °C,28.52 °C,28.40 °C
2026-03-19 19:04:33,28.36 °C,28.42 °C,28.30 °C
2026-03-19 19:34:39,28.27 °C,28.32 °C,28.23 °C
2026-03-19 20:04:45,28.22 °C,28.25 °C,28.20 °C
2026-03-19 20:34:51,28.19 °C,28.22 °C,28.17 °C
2026-03-19 21:04:57,28.17 °C,28.19 °C,28.15 °C
2026-03-19 21:35:04,28.14 °C,28.17 °C,28.12 °C
2026-03-19 22:05:10,28.12 °C,28.14 °C,28.10 °C
2026-03-19 23:05:22,28.07 °C,28.09 °C,28.04 °C
2026-03-19 23:35:34,28.04 °C,28.07 °C,28.02 °C
2026-03-20 00:05:40,28.02 °C,28.04 °C,28.00 °C
2026-03-20 00:35:46,28.00 °C,28.02 °C,27.99 °C
2026-03-20 01:05:53,27.99 °C,28.01 °C,27.95 °C
2026-03-20 01:35:59,27.95 °C,27.98 °C,27.92 °C
2026-03-20 02:06:05,27.92 °C,27.95 °C,27.89 °C
2026-03-20 02:36:11,27.89 °C,27.91 °C,27.86 °C
2026-03-20 03:06:17,27.87 °C,27.89 °C,27.85 °C
2026-03-20 03:36:23,27.86 °C,27.88 °C,27.85 °C
2026-03-20 04:06:30,27.85 °C,27.87 °C,27.83 °C
2026-03-20 04:36:36,27.84 °C,27.85 °C,27.82 °C
2026-03-20 05:06:42,27.82 °C,27.84 °C,27.80 °C
2026-03-20 05:36:49,27.79 °C,27.82 °C,27.76 °C
2026-03-20 06:06:54,27.77 °C,27.79 °C,27.75 °C
2026-03-20 06:37:01,27.74 °C,27.76 °C,27.71 °C
2026-03-20 07:07:07,27.72 °C,27.74 °C,27.70 °C
2026-03-20 07:37:13,27.76 °C,27.80 °C,27.72 °C
2026-03-20 08:07:19,27.83 °C,27.89 °C,27.77 °C
2026-03-20 08:37:26,27.92 °C,27.97 °C,27.87 °C
2026-03-20 09:07:37,28.01 °C,28.06 °C,27.97 °C
2026-03-20 09:37:49,28.13 °C,28.19 °C,28.06 °C
2026-03-20 10:07:55,28.26 °C,28.34 °C,28.19 °C
