TIME,VOC PPB Médio,VOC PPB Máximo,VOC PPB Mínimo,VOC uG Médio
2026-03-18 16:58:37,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 17:28:43,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 17:59:00,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 18:29:07,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 18:59:13,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 19:29:19,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 19:59:25,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 20:59:38,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 21:29:44,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 21:59:50,2 ppb,6 ppb,0 ppb,8 ppb
2026-03-18 22:29:56,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-18 23:00:03,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-18 23:30:09,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 00:00:15,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 00:30:21,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 01:00:27,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 01:30:34,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 02:00:40,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 02:30:46,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 03:00:52,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 03:30:58,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 04:01:10,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 05:01:22,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 05:31:28,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 06:01:35,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 06:31:41,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 07:01:47,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 07:31:53,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 08:02:00,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 08:32:06,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 09:02:12,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 09:32:18,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 10:02:24,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 10:32:30,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 11:02:37,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 11:32:43,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 12:02:49,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 12:32:55,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 13:03:01,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 13:33:08,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 14:03:25,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 14:33:37,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 15:03:43,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 15:33:49,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 16:03:55,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 16:34:01,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 17:04:08,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 17:34:14,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 18:04:20,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 18:34:26,2 ppb,6 ppb,0 ppb,7 ppb
2026-03-19 19:04:33,2 ppb,6 ppb,0 ppb,7 ppb
