TIME,CH3SH PPB Médio,CH3SH PPB Máximo,CH3SH PPB Mínimo,CH3SH uG Médio
2026-03-18 16:58:37,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 17:28:43,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 17:59:00,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 18:29:07,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 18:59:13,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 19:29:19,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 19:59:25,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 20:59:38,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 21:29:44,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 21:59:50,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 22:29:56,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 23:00:03,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-18 23:30:09,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 00:00:15,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 00:30:21,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 01:00:27,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 01:30:34,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 02:00:40,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 02:30:46,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 03:00:52,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 03:30:58,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 04:01:10,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 05:01:22,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 05:31:28,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 06:01:35,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 06:31:41,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 07:01:47,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 07:31:53,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 08:02:00,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 08:32:06,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 09:02:12,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 09:32:18,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 10:02:24,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 10:32:30,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 11:02:37,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-19 11:32:43,3 ppb,7 ppb,1 ppb,6 ppb
